,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
60,21,2013,1425000,59000,0,0,0,1,14.84,2143.0,170.0,5.0
61,27,2011,265000,120000,0,1,1,1,21.12,1248.0,88.8,5.0
62,11,2011,190000,110000,1,1,1,3,20.36,1197.0,78.9,5.0
63,11,2013,425000,60000,0,1,1,1,21.27,1396.0,88.76,5.0
64,20,2015,630000,147000,0,1,1,2,26.59,1248.0,74.0,5.0
65,9,2017,600000,25000,1,1,1,3,18.16,1196.0,86.8,5.0
66,20,2019,650000,30000,1,1,1,1,21.4,1197.0,83.1,5.0
67,29,2016,540000,40000,0,1,1,1,22.0,1498.0,108.495,5.0
68,10,2015,630000,135000,0,1,1,1,25.1,1498.0,98.6,5.0
69,20,2018,448000,30000,1,1,0,1,20.51,998.0,67.0,5.0
70,29,2017,500000,80000,0,1,1,1,21.66,1498.0,108.62,5.0
71,20,2016,745000,70000,0,1,1,1,24.3,1248.0,88.5,5.0
72,20,2019,1025000,9850,0,1,0,1,24.3,1248.0,88.5,5.0
73,11,2011,235000,60000,1,1,1,2,20.36,1197.0,78.9,5.0
74,20,2016,630000,70000,0,1,1,1,25.2,1248.0,74.0,5.0
75,28,2015,1700000,78000,0,1,1,2,12.55,2982.0,168.5,7.0
76,20,2013,450000,120000,0,1,1,2,22.9,1248.0,74.0,5.0
77,20,2012,450000,120000,1,1,1,2,16.02,1373.0,93.7,7.0
79,29,2013,450000,170000,0,1,1,1,20.54,1598.0,103.6,5.0
80,28,2016,1200000,140000,0,1,1,1,12.99,2494.0,100.6,8.0
81,9,2015,610000,90000,0,1,1,1,22.77,1498.0,98.59,5.0
82,3,2016,2500000,30000,1,1,0,2,15.71,1998.0,189.0,5.0
83,20,2017,484999,10000,1,0,1,1,23.1,998.0,67.04,5.0
84,6,2016,275000,49000,1,0,1,1,19.02,1198.0,67.05,5.0
85,20,2016,315000,32000,1,0,1,1,24.7,796.0,47.3,5.0
86,20,2016,275000,38000,1,0,1,1,24.7,796.0,47.3,5.0
88,11,2012,290000,28000,1,0,1,1,19.81,1086.0,68.05,5.0
89,20,2017,280000,32000,1,0,1,1,14.0,796.0,35.0,5.0
91,29,2015,455000,42000,1,0,1,1,16.47,1198.0,74.0,5.0
92,11,2015,351000,45000,1,0,1,2,19.81,1086.0,68.05,5.0
93,29,2012,535000,12000,1,0,1,2,15.04,1598.0,103.6,5.0
94,20,2009,175000,55500,1,0,1,1,18.2,998.0,67.1,5.0
95,11,2013,525000,61500,1,0,1,1,18.5,1197.0,82.85,5.0
96,20,2016,600000,150000,0,1,1,1,26.59,1248.0,74.0,5.0
97,11,2016,565000,72000,1,0,0,1,19.1,1197.0,82.0,5.0
98,20,2008,120000,68000,1,0,1,3,19.7,796.0,46.3,5.0
99,11,2017,725000,110000,0,1,1,1,22.54,1396.0,88.73,5.0
100,20,2009,185000,77000,1,0,1,2,21.79,998.0,67.05,5.0
101,27,2010,200000,100000,0,1,1,2,18.8,1248.0,90.0,5.0
102,20,2019,615000,10000,1,1,1,1,21.21,1197.0,81.8,5.0
103,20,2016,270000,100000,1,1,1,3,15.37,1196.0,73.0,7.0
104,20,2018,610000,35000,1,1,1,1,21.4,1197.0,83.1,5.0
105,19,2014,625000,70000,0,1,0,2,11.79,2179.0,120.0,8.0
106,9,2020,400000,5000,1,1,1,2,19.0,1194.0,94.68,5.0
107,11,2017,866000,37800,1,1,1,1,17.0,1591.0,121.3,5.0
108,29,2010,700000,114000,1,1,1,1,14.3,1798.0,160.0,5.0
109,27,2010,300000,48000,1,1,1,1,15.8,1172.0,65.0,5.0
110,19,2019,1700000,32000,0,1,1,1,15.1,2179.0,155.0,7.0
111,27,2016,375000,100000,0,1,1,1,19.09,1405.0,69.01,5.0
112,11,2013,522000,150000,0,1,1,2,22.32,1582.0,126.32,5.0
113,11,2013,451999,69000,0,1,1,1,21.9,1396.0,88.76,5.0
114,28,2009,300000,100000,1,1,1,2,14.53,1798.0,138.1,5.0
115,20,2020,475000,13000,1,1,1,1,21.63,998.0,67.04,5.0
116,20,2016,780000,60000,0,1,1,1,24.3,1248.0,88.5,5.0
117,20,2017,595000,40000,1,1,1,1,20.85,1197.0,83.14,5.0
118,20,2017,440000,35000,1,1,1,1,20.51,998.0,67.04,5.0
120,23,2014,400000,70000,0,1,1,3,20.45,1461.0,83.8,5.0
121,11,2016,1140000,50000,0,1,1,1,19.67,1582.0,126.2,5.0
122,9,2017,850000,76139,0,1,1,1,23.0,1498.0,98.96,5.0
123,20,2012,370000,175000,0,1,1,4,19.3,1248.0,73.9,5.0
124,25,2018,350000,25000,1,1,1,1,23.01,999.0,67.0,5.0
125,20,2015,360000,40000,1,1,1,2,23.1,998.0,67.04,5.0
126,20,2008,105000,65000,1,1,1,4,19.7,796.0,46.3,5.0
127,20,2013,625000,90000,0,1,1,2,20.77,1248.0,88.76,7.0
128,11,2009,135000,80000,1,1,1,2,17.92,1086.0,62.1,5.0
129,20,2015,700000,110000,0,1,1,2,20.77,1248.0,88.76,7.0
130,10,2019,690000,1303,1,0,1,1,17.8,1198.0,86.7,5.0
131,2,2018,3975000,31800,0,0,0,1,17.01,1968.0,188.0,5.0
132,17,2019,5150000,20000,1,0,0,1,22.37,2487.0,214.56,5.0
133,13,2017,3200000,45000,0,0,0,1,19.33,1999.0,177.0,5.0
134,14,2017,4100000,17000,1,1,0,1,9.5,3604.0,280.0,5.0
135,16,2019,4500000,21000,0,0,0,1,12.83,1999.0,148.31,7.0
136,21,2017,6000000,37000,0,0,0,1,13.5,2987.0,254.79,5.0
137,3,2018,3790000,29500,0,0,0,1,22.48,1995.0,187.74,5.0
139,3,2019,5800000,7500,0,0,0,1,16.78,1995.0,190.0,5.0
140,26,2018,1864999,50000,1,0,0,1,14.67,1798.0,177.46,5.0
141,21,2016,2700000,35000,0,0,0,1,15.0,2143.0,204.0,5.0
142,18,2019,1750000,19000,1,0,0,1,13.96,1451.0,141.0,5.0
143,10,2017,795000,41000,1,0,0,1,18.0,1497.0,117.6,5.0
144,28,2013,625000,39000,1,0,0,1,14.28,1798.0,138.03,5.0
145,30,2018,3400000,22000,0,0,0,1,18.0,1969.0,190.0,5.0
146,2,2015,2650000,53000,0,0,0,1,12.07,2967.0,241.4,7.0
147,20,2015,535000,40000,0,0,1,1,26.21,1248.0,88.5,5.0
148,21,2017,5850000,47000,0,0,0,1,13.5,2987.0,282.0,5.0
149,3,2010,975000,72200,1,0,0,2,10.8,2497.0,150.0,5.0
150,11,2016,805000,49900,1,0,1,1,16.3,1797.0,147.5,5.0
151,13,2017,2625000,9000,0,0,0,1,13.6,1999.0,177.0,5.0
152,27,2018,811000,11000,1,0,1,1,17.0,1198.0,108.5,5.0
153,29,2011,375000,49000,1,1,1,1,15.04,1598.0,103.6,5.0
154,11,2012,550000,95000,1,1,1,1,16.3,1797.0,147.5,5.0
155,26,2016,645000,11000,1,0,0,1,14.3,1598.0,103.5,5.0
156,21,2018,2550000,18000,1,0,0,1,15.04,1991.0,183.0,5.0
157,20,2014,599000,46100,1,0,1,1,16.02,1373.0,93.7,7.0
158,21,2017,2700000,16000,1,0,0,1,14.74,1991.0,181.04,5.0
159,10,2017,875000,18000,1,0,0,1,15.6,1497.0,116.3,5.0
160,28,2019,894999,9654,1,0,0,1,19.56,1197.0,81.8,5.0
161,20,2011,175000,11000,1,0,1,1,23.95,998.0,67.05,5.0
162,20,2012,340000,24300,1,0,1,1,21.21,1197.0,81.8,5.0
163,28,2016,1525000,42163,0,0,0,2,11.36,2755.0,171.5,7.0
164,27,2018,1025000,8000,0,0,0,1,21.5,1497.0,108.5,5.0
165,3,2016,2150000,30000,0,0,0,1,22.69,1995.0,190.0,5.0
166,28,2016,1900000,41000,1,0,0,1,19.16,2494.0,157.7,5.0
167,3,2016,2900000,12000,0,0,0,1,18.12,1995.0,190.0,5.0
168,28,2009,450000,71000,1,0,0,1,12.1,2362.0,164.7,5.0
169,20,2016,850000,20000,1,1,1,1,17.5,1373.0,91.1,7.0
170,30,2017,10000000,30000,1,1,0,1,42.0,1969.0,400.0,4.0
171,29,2011,300000,100000,0,1,1,2,20.54,1598.0,103.6,5.0
172,9,2018,575000,9500,1,1,1,1,18.16,1196.0,86.8,5.0
173,9,2011,160000,120000,0,1,1,1,20.0,1399.0,68.0,5.0
174,20,2015,515000,36600,1,1,1,1,20.4,1197.0,81.8,5.0
175,20,2015,390000,50000,1,1,0,2,20.51,998.0,67.0,5.0
176,11,2016,550000,14000,1,1,1,2,18.6,1197.0,81.83,5.0
177,20,1999,40000,40000,1,1,1,2,16.1,796.0,37.0,4.0
178,20,2010,220000,120000,0,1,1,1,21.1,1248.0,73.9,5.0
179,11,2015,425000,70000,1,1,1,1,18.9,1197.0,82.0,5.0
180,29,2019,480000,13000,1,1,1,1,19.44,999.0,75.0,5.0
181,11,2014,400000,60000,1,1,1,2,18.9,1197.0,82.0,5.0
182,20,2014,487000,35000,1,1,1,1,19.1,1197.0,85.8,5.0
183,11,2016,386000,44000,1,1,1,2,19.1,1197.0,82.0,5.0
184,10,2005,100000,120000,1,1,1,2,13.0,1493.0,100.0,5.0
185,28,2010,300000,60000,0,1,1,1,21.43,1364.0,87.2,5.0
186,5,2000,100000,60000,1,1,1,1,18.5,796.0,53.0,5.0
187,28,2014,1750000,30000,0,1,1,2,13.0,2982.0,168.5,7.0
188,19,2016,450000,15000,1,1,1,2,18.15,1198.0,82.0,6.0
189,27,2017,490000,90000,0,1,1,1,22.95,1248.0,74.0,5.0
190,10,2009,345000,47000,1,1,1,2,17.0,1497.0,118.0,5.0
191,20,2005,85000,90000,1,1,1,1,17.3,993.0,60.0,5.0
192,20,2010,215000,120600,1,1,1,2,18.9,998.0,67.1,5.0
193,11,2010,320000,100000,1,1,1,3,16.2,1599.0,103.2,5.0
194,20,2016,459999,60000,1,1,1,2,20.85,1197.0,83.14,5.0
195,11,2005,65000,86000,1,1,1,1,15.3,1341.0,83.0,5.0
196,11,2020,720000,5000,1,1,1,1,18.6,1197.0,81.86,5.0
197,20,2017,800000,37000,0,1,1,1,28.09,1248.0,88.5,5.0
198,27,2019,520000,14000,1,1,1,1,20.3,1199.0,84.0,5.0
199,20,2015,580000,70000,0,1,1,1,20.77,1248.0,88.76,7.0
201,10,2015,600000,50000,1,1,1,1,17.4,1497.0,117.3,5.0
202,10,2014,290000,60000,1,1,1,2,19.4,1198.0,86.8,5.0
204,20,2017,550000,50000,1,1,1,1,20.85,1197.0,83.14,5.0
205,11,2013,375000,70000,1,1,1,1,18.5,1197.0,82.85,5.0
207,20,2018,420000,35000,1,1,0,1,20.51,998.0,67.0,5.0
208,20,2017,550000,20000,1,1,1,1,21.21,1197.0,81.8,5.0
209,20,2018,270000,20000,1,1,1,1,24.7,796.0,47.3,5.0
210,20,2018,700000,7800,1,1,0,1,22.0,1197.0,81.8,5.0
211,20,2017,500000,20000,1,1,1,1,20.4,1197.0,81.8,5.0
212,27,2019,1250000,15000,0,1,1,1,17.6,2179.0,147.94,7.0
213,11,2013,320000,31377,1,1,1,2,18.5,1197.0,82.85,5.0
214,20,2018,700000,50000,0,1,1,1,28.4,1248.0,74.02,5.0
215,20,2015,290000,60000,1,1,1,1,20.51,998.0,67.04,5.0
216,28,2012,550000,100000,1,1,0,1,14.53,1794.0,138.1,5.0
217,10,2012,265000,60000,1,1,1,1,19.4,1198.0,86.8,5.0
218,20,2018,830000,5000,1,1,0,1,21.4,1197.0,83.1,5.0
219,27,2017,800000,60000,0,1,1,1,14.1,2179.0,147.94,7.0
220,20,2011,160000,25000,1,1,1,2,19.7,796.0,46.3,5.0
221,25,2018,335000,30000,1,1,1,1,25.17,799.0,53.3,5.0
222,6,2017,329000,80000,1,1,1,2,20.63,1198.0,67.0,5.0
223,20,2017,775000,75000,0,1,1,1,24.3,1248.0,88.5,5.0
224,11,2020,524000,32000,1,1,1,1,20.14,1197.0,81.86,5.0
225,20,2015,245000,40000,1,1,1,1,22.74,796.0,47.3,5.0
226,11,2012,275000,93000,1,1,1,2,17.0,1197.0,80.0,5.0
227,27,2018,520000,60000,1,1,1,1,17.57,1193.0,88.7,5.0
229,23,2014,550000,37000,1,1,1,1,16.95,1498.0,97.7,5.0
230,9,2018,910000,15000,1,1,1,1,17.0,1497.0,121.36,5.0
231,23,2015,300000,80000,1,1,1,1,19.49,1198.0,67.04,5.0
232,20,2016,350000,140000,1,1,1,1,20.51,998.0,67.04,5.0
233,19,2013,900000,70000,0,1,1,1,12.83,2696.0,162.0,7.0
234,19,2013,300000,120000,0,1,1,2,17.21,1493.0,100.0,7.0
235,20,2010,250000,110000,0,1,1,2,21.1,1248.0,73.9,5.0
236,11,2017,1100000,37000,0,1,1,1,19.67,1582.0,126.2,5.0
237,25,2016,270000,44000,1,1,1,1,25.17,799.0,53.3,5.0
238,20,2015,640000,80000,0,1,1,1,20.77,1248.0,88.76,7.0
239,19,2015,650000,125000,0,1,1,1,15.1,2179.0,140.0,7.0
240,20,2017,409999,13500,1,1,1,1,15.37,1196.0,73.0,5.0
241,11,2011,165000,75000,1,1,1,1,17.92,1086.0,62.1,5.0
242,11,2007,80000,120000,1,1,1,2,13.2,1495.0,94.0,5.0
243,19,2012,535000,120000,0,1,1,1,15.1,2179.0,140.0,7.0
244,28,2013,700000,70000,0,1,1,1,12.99,2494.0,100.57,7.0
245,20,2013,550000,70000,0,1,1,1,23.4,1248.0,74.0,5.0
246,10,2019,680000,15000,1,1,0,1,19.0,1199.0,88.76,5.0
247,11,2009,200000,53000,1,1,1,2,20.36,1197.0,78.9,5.0
248,20,2014,500000,120000,0,1,1,2,23.4,1248.0,74.0,5.0
249,20,2016,1000000,70000,0,1,1,1,24.52,1248.0,88.5,7.0
250,11,2008,110000,120000,1,1,1,2,14.2,1341.0,82.9,5.0
251,11,2012,320000,100000,1,1,1,2,18.5,1197.0,80.0,5.0
253,20,2015,350000,100000,1,1,1,1,20.4,1197.0,83.11,5.0
254,27,2013,170000,162500,0,1,1,1,19.4,1405.0,70.0,5.0
255,11,2017,800000,39000,0,1,1,1,22.54,1396.0,88.73,5.0
256,20,2017,500000,75000,0,1,1,1,26.8,1248.0,74.0,5.0
257,27,2017,1380000,50000,0,1,0,1,17.6,2179.0,153.86,7.0
258,19,2019,1300000,40000,0,1,1,1,17.3,1497.0,121.0,8.0
259,11,2013,530000,92500,0,1,1,1,22.32,1582.0,126.3,5.0
260,20,2012,360000,158000,0,1,1,1,23.4,1248.0,74.0,5.0
261,20,2012,310000,120000,0,1,1,1,19.3,1248.0,73.9,5.0
262,10,2015,725000,50000,0,1,1,2,26.0,1498.0,98.6,5.0
263,20,2012,340000,110000,0,1,1,1,19.3,1248.0,73.9,5.0
264,11,2017,550000,2000,0,1,1,2,25.4,1186.0,73.97,5.0
265,28,2011,1150000,181000,0,1,1,2,11.5,2982.0,171.0,7.0
266,27,2016,380000,70000,0,1,1,1,27.28,1047.0,69.0,5.0
267,23,2013,350000,90000,1,1,0,2,17.97,1498.0,99.6,5.0
268,11,2019,610000,2000,1,1,1,1,18.6,1197.0,81.86,5.0
269,20,2015,525000,20000,1,1,1,1,20.85,1197.0,83.14,5.0
270,28,2011,480000,120000,0,1,1,1,12.8,2494.0,102.0,7.0
271,19,2017,780000,35000,0,1,1,1,16.55,2498.0,105.0,6.0
272,20,2012,320000,193000,0,1,1,1,19.3,1248.0,73.9,5.0
273,20,2014,375000,80000,1,1,1,1,20.4,1197.0,81.8,5.0
274,6,2019,300000,40000,1,1,1,1,19.02,1198.0,67.05,5.0
275,11,2015,500000,70000,0,1,1,4,22.54,1396.0,88.73,5.0
276,19,2011,404000,122358,0,1,1,1,12.05,2179.0,120.0,9.0
277,27,2015,500000,75000,0,1,1,1,14.07,2956.0,69.01,7.0
278,27,2017,350000,120000,0,1,1,1,27.28,1047.0,69.0,5.0
279,27,2015,380000,40000,1,1,1,1,17.57,1193.0,88.7,5.0
280,11,2008,114999,95200,1,1,1,3,13.2,1495.0,94.0,5.0
281,10,2014,335000,33033,1,0,1,1,19.4,1198.0,86.8,5.0
282,11,2015,465000,63063,1,0,0,1,18.9,1197.0,82.0,5.0
283,27,2012,290000,60000,0,1,1,1,21.02,1248.0,88.76,5.0
284,20,2005,110000,45000,1,1,1,2,19.7,796.0,46.3,5.0
285,27,2011,450000,80000,0,1,1,3,11.57,2179.0,138.1,7.0
286,19,2009,400000,170000,0,1,1,2,13.6,2523.0,63.0,7.0
287,19,2007,210000,207890,0,1,1,2,13.6,2523.0,63.0,7.0
288,21,2018,4600000,7976,0,1,0,1,17.9,2143.0,170.0,5.0
289,20,2016,220000,35000,1,1,1,1,16.8,796.0,34.2,8.0
290,11,2017,450000,35000,1,1,1,1,18.9,1197.0,82.0,5.0
291,11,2017,450000,35000,1,1,1,1,18.9,1197.0,82.0,5.0
292,11,2013,290000,50000,1,1,0,1,16.95,1197.0,78.9,5.0
293,20,2016,520000,20000,1,1,1,1,20.4,1197.0,81.8,5.0
294,11,2011,265000,20000,1,1,0,1,16.95,1197.0,78.9,5.0
295,20,2012,330000,50000,1,1,1,2,18.6,1197.0,85.8,5.0
296,20,2012,330000,50000,1,1,1,2,18.6,1197.0,85.8,5.0
297,19,2014,509999,120000,0,1,1,1,15.96,2523.0,62.1,7.0
298,11,2014,500000,70000,1,1,1,1,17.1,1591.0,121.3,5.0
299,11,2015,525000,50000,1,1,1,1,17.19,1197.0,81.86,5.0
300,20,2019,675000,16500,1,1,1,1,21.01,1197.0,81.8,5.0
301,11,2010,300000,70000,1,1,1,1,17.0,1197.0,80.0,5.0
302,20,2005,90000,99361,1,1,1,2,19.7,796.0,46.3,5.0
303,20,2017,650000,25000,0,1,1,1,26.59,1248.0,74.0,5.0
304,20,2014,409000,70000,1,1,1,2,19.1,1197.0,85.8,5.0
305,11,2015,395000,80000,0,1,1,2,24.0,1120.0,70.0,5.0
307,20,2014,400000,70000,1,1,1,2,19.1,1197.0,85.8,5.0
308,4,2012,120000,60000,1,1,1,3,18.6,1199.0,79.4,5.0
309,27,2018,645000,10000,1,1,0,1,20.3,1199.0,84.0,5.0
310,20,2006,81000,80000,1,1,1,1,16.1,796.0,37.0,4.0
311,10,2017,1300000,30000,0,1,1,1,25.6,1498.0,97.9,5.0
312,10,2017,1250000,33000,0,1,1,1,25.6,1498.0,97.9,5.0
313,20,2013,535000,90000,1,1,1,3,16.02,1373.0,93.7,7.0
314,23,2014,555000,80100,0,1,1,2,19.01,1461.0,108.5,5.0
315,10,2014,725000,120000,1,1,1,1,17.4,1497.0,117.3,5.0
317,25,2016,229999,40000,1,1,1,1,25.17,799.0,53.3,5.0
318,28,2013,800000,160000,0,1,1,2,12.99,2494.0,100.6,8.0
319,20,2017,409999,47000,1,1,1,1,20.51,998.0,67.04,5.0
320,11,2018,1210000,25000,0,1,1,1,21.38,1396.0,88.7,5.0
321,27,2017,400000,26000,1,1,1,1,23.84,1199.0,84.0,5.0
322,11,2018,520000,29000,0,1,1,1,24.0,1186.0,73.97,5.0
323,20,2016,650000,50000,1,1,0,1,21.4,1197.0,83.1,5.0
324,20,2011,325000,58000,1,1,1,3,16.1,1298.0,88.2,5.0
325,20,2012,420000,120000,1,1,0,1,17.4,1197.0,85.8,5.0
326,20,2014,400000,50000,1,1,1,1,20.4,1197.0,81.8,5.0
327,11,2010,254999,80000,1,1,1,4,17.0,1197.0,80.0,5.0
328,20,2003,65000,60000,1,1,1,4,17.3,993.0,60.0,5.0
329,20,2017,351000,36000,1,1,1,1,23.1,998.0,67.04,5.0
330,28,2007,404000,120000,0,1,1,3,12.8,2494.0,102.0,8.0
331,20,2011,185000,185000,0,1,1,3,21.1,1248.0,73.9,5.0
332,23,2011,250000,50000,0,1,1,1,23.08,1461.0,63.1,5.0
333,20,2002,60000,100000,1,1,1,4,17.3,993.0,60.0,5.0
334,11,2013,500000,50000,1,1,1,2,17.1,1591.0,121.3,5.0
335,20,2007,85000,80000,1,1,1,2,18.2,998.0,67.1,5.0
337,20,2005,85000,80000,1,1,1,4,19.7,796.0,46.3,5.0
338,20,2011,265000,90000,0,1,1,4,19.3,1248.0,73.9,5.0
339,20,2010,130000,162000,1,1,1,2,19.0,998.0,66.1,5.0
340,20,2013,480000,110000,0,1,1,3,20.77,1248.0,88.76,7.0
341,20,2008,170000,120000,0,1,1,3,17.8,1248.0,75.0,5.0
342,23,2011,275000,45000,0,1,1,1,23.08,1461.0,63.1,5.0
343,20,2005,89000,90000,1,1,1,2,18.9,998.0,67.1,5.0
344,9,2010,170000,90000,0,1,1,2,20.0,1399.0,68.0,5.0
345,19,2019,1090000,16500,1,0,1,1,17.0,1197.0,110.0,5.0
346,11,2017,1100000,67000,0,1,0,1,17.01,1582.0,126.2,5.0
347,20,2018,610000,52000,1,0,1,1,22.0,1197.0,81.8,5.0
348,6,2016,335000,40000,1,0,1,1,20.63,1198.0,67.0,5.0
349,11,2015,434999,40000,1,0,1,1,18.9,1197.0,82.0,5.0
350,28,2018,3000000,35000,0,1,1,1,14.24,2755.0,174.5,7.0
351,25,2018,390000,13000,1,0,1,1,20.71,799.0,53.26,5.0
352,10,2012,325000,40000,1,0,1,1,18.5,1198.0,86.8,5.0
353,29,2019,640000,10000,1,0,1,1,17.0,1198.0,73.75,5.0
354,23,2012,450000,9000,1,0,1,1,16.95,1498.0,97.7,5.0
355,28,2013,400000,70000,0,0,1,2,23.59,1364.0,67.06,5.0
356,11,2009,215000,60000,1,0,1,1,20.36,1197.0,78.9,5.0
357,25,2014,570000,40000,0,0,1,1,20.45,1461.0,83.8,5.0
358,19,2012,680000,93000,0,0,1,1,15.1,2179.0,140.0,7.0
359,28,2008,325000,80000,0,1,1,4,12.8,2494.0,102.0,7.0
360,27,2011,150000,50000,1,1,1,2,15.64,1193.0,64.08,5.0
361,11,2013,690000,68000,1,0,0,1,14.5,1797.0,147.5,5.0
362,21,2013,1550000,25000,0,1,0,1,14.84,2143.0,170.0,5.0
363,27,2012,64000,18000,1,0,1,1,25.4,624.0,37.5,4.0
364,23,2013,250000,120000,0,1,1,1,23.08,1461.0,63.1,5.0
365,20,2005,65000,35000,1,1,1,1,18.9,998.0,67.1,5.0
366,20,2016,550000,60000,0,1,1,2,26.59,1248.0,74.0,5.0
367,11,2010,140000,70000,1,1,1,4,20.36,1197.0,78.9,5.0
368,25,2016,300000,30000,1,1,1,1,25.17,799.0,53.3,5.0
369,29,2016,800000,70000,1,1,0,1,16.34,1798.0,189.3,5.0
370,13,2017,2625000,9000,0,0,0,1,13.6,1999.0,177.0,5.0
371,17,2019,5150000,20000,1,0,0,1,22.37,2487.0,214.56,5.0
372,13,2017,3200000,45000,0,0,0,1,19.33,1999.0,177.0,5.0
373,27,2015,503000,110000,0,1,1,1,14.1,2179.0,147.94,7.0
374,30,2019,3800000,20000,0,1,0,1,18.0,1969.0,190.0,5.0
375,28,2016,2000000,68089,1,2,0,1,19.16,2494.0,157.7,5.0
376,20,2013,225000,58343,1,2,1,1,21.79,998.0,67.05,5.0
377,20,2018,740000,38817,0,0,1,1,27.39,1248.0,74.0,5.0
378,10,2016,550000,56494,1,2,1,1,18.2,1199.0,88.7,5.0
379,28,2013,750000,79328,0,2,1,2,12.99,2494.0,100.6,7.0
380,20,2019,650000,5621,1,2,0,1,22.0,1197.0,81.8,5.0
381,28,2017,625000,25538,1,2,1,1,16.78,1496.0,88.73,5.0
